"id","has_summary_results","crossreg_euctr_id","is_crossreg_eudract"
"NCT00150878",FALSE,NA,FALSE
"NCT00480077",TRUE,NA,FALSE
"NCT00618384",FALSE,NA,FALSE
"NCT00640679",FALSE,NA,FALSE
"NCT00672334",FALSE,"2007-002223-32",TRUE
"NCT00690118",FALSE,"2006-005410-13",TRUE
"NCT00716833",FALSE,NA,FALSE
"NCT00798525",FALSE,"2006-003122-28",TRUE
"NCT00803309",FALSE,NA,FALSE
"NCT00986258",TRUE,"2009-010428-25",TRUE
"NCT00996554",FALSE,NA,FALSE
"NCT00999856",FALSE,NA,FALSE
"NCT01021423",TRUE,NA,FALSE
"NCT01030666",TRUE,"2006-001367-36",TRUE
"NCT01143272",TRUE,"2009-017374-20",TRUE
"NCT01145404",FALSE,NA,FALSE
"NCT01178255",FALSE,"2009-017458-11",TRUE
"NCT01239992",TRUE,"2010-019954-42",TRUE
"NCT01297712",FALSE,NA,FALSE
"NCT01339026",FALSE,"2010-020219-35",TRUE
"NCT01564095",FALSE,"2010-021333-31",TRUE
"NCT01601496",TRUE,NA,FALSE
"NCT00626548",TRUE,NA,FALSE
"NCT00746720",FALSE,"2005-003854-80",TRUE
"NCT01061931",FALSE,NA,FALSE
"NCT00368121",FALSE,NA,FALSE
"NCT00502554",FALSE,NA,FALSE
"NCT00567801",FALSE,NA,FALSE
"NCT00663104",FALSE,NA,FALSE
"NCT00667667",FALSE,NA,FALSE
"NCT00708942",TRUE,NA,FALSE
"NCT00720850",FALSE,NA,FALSE
"NCT00823290",FALSE,NA,FALSE
"NCT00923234",FALSE,NA,FALSE
"NCT00933374",FALSE,NA,FALSE
"NCT01079091",FALSE,NA,FALSE
"NCT01079104",FALSE,NA,FALSE
"NCT01187888",FALSE,"2008-007520-26",TRUE
"NCT01215266",FALSE,"2005-006098-29",TRUE
"NCT01245985",FALSE,NA,FALSE
"NCT00125606",FALSE,NA,FALSE
"NCT00223041",FALSE,NA,FALSE
"NCT00331721",FALSE,NA,FALSE
"NCT00368264",FALSE,"2005-004067-30",TRUE
"NCT00391534",FALSE,"2006-003834-14",TRUE
"NCT00405873",FALSE,NA,FALSE
"NCT00457951",TRUE,NA,FALSE
"NCT00511160",FALSE,NA,FALSE
"NCT00546975",FALSE,NA,FALSE
"NCT00559286",FALSE,"2007-002765-12",TRUE
"NCT00571753",FALSE,"2007-000224-41",TRUE
"NCT00586794",FALSE,NA,FALSE
"NCT00623415",FALSE,"2006-005262-39",TRUE
"NCT00628797",FALSE,NA,FALSE
"NCT00647192",FALSE,"2007-002119-17",TRUE
"NCT00663455",FALSE,NA,FALSE
"NCT00682747",FALSE,NA,FALSE
"NCT00691912",FALSE,NA,FALSE
"NCT00704002",FALSE,NA,FALSE
"NCT00717639",FALSE,"2007-006014-41",TRUE
"NCT00776191",FALSE,"2005-005434-12",TRUE
"NCT00806468",FALSE,NA,FALSE
"NCT00823225",FALSE,"2007-005916-15",TRUE
"NCT00852059",FALSE,NA,FALSE
"NCT00866684",FALSE,NA,FALSE
"NCT00881257",FALSE,NA,FALSE
"NCT00887276",FALSE,"2005-000771-18",TRUE
"NCT00912561",FALSE,NA,FALSE
"NCT00930241",FALSE,NA,FALSE
"NCT00932724",FALSE,"2008-005536-32",TRUE
"NCT00939939",FALSE,NA,FALSE
"NCT00967343",TRUE,"2008-008198-73",TRUE
"NCT01058369",TRUE,NA,FALSE
"NCT01058759",FALSE,NA,FALSE
"NCT01069601",FALSE,"2009-017052-27",TRUE
"NCT01069965",FALSE,"2009-013328-21",TRUE
"NCT01071135",FALSE,NA,FALSE
"NCT01088256",FALSE,"2009-015496-27",TRUE
"NCT01088308",FALSE,NA,FALSE
"NCT01098565",FALSE,NA,FALSE
"NCT01109966",FALSE,NA,FALSE
"NCT01126866",FALSE,NA,FALSE
"NCT01199133",FALSE,"2009-011999-30",TRUE
"NCT01199783",FALSE,NA,FALSE
"NCT01231854",FALSE,"2009-017520-88",TRUE
"NCT01251809",FALSE,NA,FALSE
"NCT01271322",FALSE,NA,FALSE
"NCT01277575",FALSE,NA,FALSE
"NCT01298830",FALSE,"2007-004516-31",TRUE
"NCT01320280",FALSE,NA,FALSE
"NCT01341340",FALSE,NA,FALSE
"NCT01357460",FALSE,NA,FALSE
"NCT01363921",FALSE,NA,FALSE
"NCT01367691",FALSE,NA,FALSE
"NCT01374789",FALSE,"2009-015119-42",TRUE
"NCT01409850",FALSE,NA,FALSE
"NCT01410903",FALSE,NA,FALSE
"NCT01434914",FALSE,NA,FALSE
"NCT01447758",FALSE,NA,FALSE
"NCT01458015",FALSE,NA,FALSE
"NCT01531764",FALSE,NA,FALSE
"NCT01551407",FALSE,NA,FALSE
"NCT01571895",FALSE,"2011-000756-42",TRUE
"NCT01638585",FALSE,"2010-023426-20",TRUE
"NCT01701843",FALSE,NA,FALSE
"NCT01740544",FALSE,NA,FALSE
"NCT02188212",FALSE,NA,FALSE
"NCT00839059",FALSE,NA,FALSE
"NCT01476553",FALSE,"2015-000425-37",TRUE
"NCT01589211",FALSE,NA,FALSE
"NCT01352702",FALSE,"2011-000504-18",TRUE
"NCT02207582",FALSE,NA,FALSE
"NCT02372318",FALSE,NA,FALSE
"NCT02129400",FALSE,"2014-000973-38",TRUE
"NCT02135926",FALSE,NA,FALSE
"NCT01817738",FALSE,NA,FALSE
"NCT02034279",FALSE,"2013-002416-27",TRUE
"NCT02340299",TRUE,NA,FALSE
"NCT01647880",FALSE,"2011-004787-30",TRUE
"NCT01440062",FALSE,"2011-002785-20",TRUE
"NCT01402739",FALSE,NA,FALSE
"NCT01111448",FALSE,NA,FALSE
"NCT02078986",FALSE,NA,FALSE
"NCT01569412",FALSE,"2011-003201-14",TRUE
"NCT01067703",FALSE,NA,FALSE
"NCT01853384",TRUE,"2012-003286-18",TRUE
"NCT01148264",FALSE,"2010-018665-30",TRUE
"NCT01203228",FALSE,"2005-002011-24",TRUE
"NCT02384850",TRUE,NA,FALSE
"NCT01900327",FALSE,"2012-003669-17",TRUE
"NCT01405417",FALSE,NA,FALSE
"NCT01931592",FALSE,NA,FALSE
"NCT01852526",FALSE,NA,FALSE
"NCT02699034",FALSE,NA,FALSE
"NCT02380937",FALSE,NA,FALSE
"NCT00923793",FALSE,NA,FALSE
"NCT01534455",FALSE,"2010-023237-37",TRUE
"NCT02424552",FALSE,"2010-020793-42",TRUE
"NCT01679405",TRUE,NA,FALSE
"NCT01627379",FALSE,"2010-020606-15",TRUE
"NCT00727207",FALSE,"2007-005116-12",TRUE
"NCT01841632",TRUE,"2009-017795-25",TRUE
"NCT01540344",FALSE,"2009-014040-11",TRUE
"NCT00950274",FALSE,"2006-006404-11",TRUE
"NCT02052193",FALSE,NA,FALSE
"NCT01055522",FALSE,"2005-002716-16",TRUE
"NCT02820519",FALSE,"2014-005440-17",TRUE
"NCT01532453",TRUE,NA,FALSE
"NCT03854942",FALSE,NA,FALSE
"NCT02585752",FALSE,NA,FALSE
"NCT02539680",FALSE,NA,FALSE
"NCT02077309",FALSE,"2012-003859-12",TRUE
"NCT01941550",FALSE,NA,FALSE
"NCT01888796",FALSE,"2012-003858-81",TRUE
"NCT01341106",FALSE,"2010-019884-12",TRUE
"NCT01266187",FALSE,"2008-005312-41",TRUE
"NCT01262729",FALSE,"2010-022679-71",TRUE
"NCT01242956",FALSE,NA,FALSE
"NCT02475252",FALSE,NA,FALSE
"NCT01402414",FALSE,NA,FALSE
"NCT01563614",FALSE,NA,FALSE
"NCT02726048",FALSE,NA,FALSE
"NCT02019498",FALSE,NA,FALSE
"NCT01523938",FALSE,NA,FALSE
"NCT01413243",FALSE,NA,FALSE
"NCT01370044",FALSE,"2011-001403-12",TRUE
"NCT01259830",FALSE,NA,FALSE
"NCT02157363",FALSE,NA,FALSE
"NCT01146821",FALSE,"2010-021018-49",TRUE
"NCT02595840",FALSE,"2014-001983-36",TRUE
"NCT02541357",FALSE,NA,FALSE
"NCT02488694",FALSE,NA,FALSE
"NCT02185703",FALSE,NA,FALSE
"NCT02150473",FALSE,"2013-004604-19",TRUE
"NCT01755871",FALSE,NA,FALSE
"NCT00977132",FALSE,NA,FALSE
"NCT01176214",FALSE,NA,FALSE
"NCT02081053",FALSE,NA,FALSE
"NCT00945126",FALSE,NA,FALSE
"NCT00711542",FALSE,NA,FALSE
"NCT01690572",FALSE,NA,FALSE
"NCT01517776",FALSE,"2009-011898-33",TRUE
"NCT01060423",FALSE,"2009-014728-44",TRUE
"NCT01045512",FALSE,"2007-003003-12",TRUE
"NCT02818959",FALSE,NA,FALSE
"NCT02606799",FALSE,NA,FALSE
"NCT02417103",FALSE,NA,FALSE
"NCT02071511",FALSE,NA,FALSE
"NCT01887041",FALSE,NA,FALSE
"NCT01759238",FALSE,"2011-005296-16",TRUE
"NCT01021202",FALSE,NA,FALSE
"NCT00858793",FALSE,NA,FALSE
"NCT02728453",FALSE,NA,FALSE
"NCT02374567",FALSE,NA,FALSE
"NCT01336530",FALSE,"2009-014441-93",TRUE
"NCT01117662",FALSE,NA,FALSE
"NCT02772146",FALSE,NA,FALSE
"NCT02130128",FALSE,NA,FALSE
"NCT01666600",FALSE,NA,FALSE
"NCT01617980",FALSE,NA,FALSE
"NCT01362582",FALSE,NA,FALSE
"NCT00753441",FALSE,NA,FALSE
"NCT01522612",FALSE,"2011-002947-83",TRUE
"NCT02641782",FALSE,NA,FALSE
"NCT02891863",TRUE,NA,FALSE
"NCT02523859",FALSE,NA,FALSE
"NCT00595647",FALSE,NA,FALSE
"NCT02039167",FALSE,NA,FALSE
"NCT02594332",FALSE,"2015-001868-19",TRUE
"NCT01340690",FALSE,NA,FALSE
"NCT00659867",FALSE,NA,FALSE
"NCT02312479",FALSE,NA,FALSE
"NCT00834314",FALSE,NA,FALSE
"NCT02675816",FALSE,NA,FALSE
"NCT02139098",FALSE,"2013-003229-27",TRUE
"NCT02207309",FALSE,"2013-000522-58",TRUE
"NCT01690325",FALSE,NA,FALSE
"NCT01439958",FALSE,"2011-004304-38",TRUE
"NCT01419002",FALSE,NA,FALSE
"NCT01138579",FALSE,NA,FALSE
"NCT01407679",FALSE,NA,FALSE
"NCT01303250",FALSE,"2009-017595-25",TRUE
"NCT00413127",FALSE,"2007-000259-33",TRUE
"NCT02058810",FALSE,NA,FALSE
"NCT02739685",FALSE,NA,FALSE
"NCT02632292",FALSE,NA,FALSE
"NCT01312623",FALSE,NA,FALSE
"NCT02140138",FALSE,"2013-004489-32",TRUE
"NCT01683864",TRUE,"2011-004405-25",TRUE
"NCT01582048",FALSE,"2011-002192-41",TRUE
"NCT01289938",FALSE,"2008-003778-16",TRUE
"NCT00961142",FALSE,"2007-006016-33",TRUE
"NCT02198482",FALSE,"2014-000477-39",TRUE
"NCT01837082",FALSE,"2012-001134-33",TRUE
"NCT01397149",FALSE,"2010-023022-20",TRUE
"NCT01611207",FALSE,NA,FALSE
